text,intent
"Refund: this product was recalled and I want my money back.","Refund Request"
"Refund for safety issue — battery swelling.","Refund Request"
"Refund please — item burned out within 10 minutes of use.","Refund Request"
"Refund: returning faulty headphones via UPS tomorrow.","Refund Request"
"Refund: package returned by carrier as undeliverable, please process refund.","Refund Request"
"Refund the dress — was supposed to be silk but is polyester.","Refund Request"
"Refund — fragrance description was completely wrong.","Refund Request"
"Refund: ad showed feature my item doesn't have.","Refund Request"
"Refund please. Item not as advertised.","Refund Request"
"Refund — false advertising on the listing.","Refund Request"
"Refund my order — color way off from photos.","Refund Request"
"Refund please — measurements totally wrong.","Refund Request"
"Refund: I bought based on a review that turned out to be fake.","Refund Request"
"Refund my order — bonus item shown in ad wasn't included.","Refund Request"
"Refund: subscription auto-renewed without consent.","Refund Request"
"Refund the auto-charge I didn't authorize.","Refund Request"
"Refund my subscription — never agreed to recurring billing.","Refund Request"
"Refund: charged after I cancelled the trial.","Refund Request"
"Refund my membership fee — I cancelled before renewal.","Refund Request"
"Refund please — was charged after free trial despite cancellation.","Refund Request"
"Refund for the cancelled order that still got charged.","Refund Request"
"Refund my deposit — I'm cancelling the pre-order.","Refund Request"
"Refund please. I'm done with this purchase.","Refund Request"
"Where is my package? It's been 9 days.","Delivery Issue"
"Tracking hasn't updated since Monday.","Delivery Issue"
"My order is late, FedEx tracking shows nothing.","Delivery Issue"
"Package has been stuck in transit for a week.","Delivery Issue"
"Estimated delivery was yesterday and it never came.","Delivery Issue"
"Order says delivered but I never received it.","Delivery Issue"
"Where's my shipment? Order 12290 hasn't arrived.","Delivery Issue"
"The courier left it at the wrong address.","Delivery Issue"
"I need to update my shipping address before it ships.","Delivery Issue"
"Tracking number is not working on the carrier site.","Delivery Issue"
"Has my package shipped yet? It's been 3 days.","Delivery Issue"
"Delivery is delayed, when will I get my order?","Delivery Issue"
"USPS shows the package is lost.","Delivery Issue"
"My order keeps getting rescheduled by the carrier.","Delivery Issue"
"I missed the delivery, how do I reschedule?","Delivery Issue"
"Package arrived to the neighbor by mistake.","Delivery Issue"
"I selected next-day shipping but it's been a week.","Delivery Issue"
"Why hasn't my parcel moved in 5 days?","Delivery Issue"
"Order shipped but no tracking info provided.","Delivery Issue"
"Delivery driver said no one was home but I was here.","Delivery Issue"
"Where is my order? It's been two weeks.","Delivery Issue"
"Package still showing 'label created' after 4 days.","Delivery Issue"
"Tracking says delivered but nothing on my porch.","Delivery Issue"
"Order 88110 hasn't shown any movement in 6 days.","Delivery Issue"
"Why is my delivery so late?","Delivery Issue"
"My package is stuck at the distribution center.","Delivery Issue"
"Carrier marked delivered but I'm watching my door — nothing came.","Delivery Issue"
"Delivery date keeps slipping every day.","Delivery Issue"
"FedEx says 'exception' on my tracking, what does that mean?","Delivery Issue"
"Package has been 'out for delivery' for 3 days.","Delivery Issue"
"Shipment hasn't moved from your warehouse.","Delivery Issue"
"Where is order 33129? Promised by Tuesday.","Delivery Issue"
"I paid for express shipping and it's been a full week.","Delivery Issue"
"My delivery is overdue by 5 days.","Delivery Issue"
"Driver claims attempted delivery but nobody knocked.","Delivery Issue"
"Tracking link gives an error.","Delivery Issue"
"DHL has no record of my shipment.","Delivery Issue"
"Package shows as 'in transit' for 12 days now.","Delivery Issue"
"Order placed Nov 1, still not here.","Delivery Issue"
"Lost package — carrier confirmed it can't be found.","Delivery Issue"
"Where can I file a lost package claim?","Delivery Issue"
"Package never arrived, want to file a claim.","Delivery Issue"
"USPS lost my shipment, what do I do?","Delivery Issue"
"Tracking shows my parcel was returned to sender.","Delivery Issue"
"Why was my package returned to you?","Delivery Issue"
"Box arrived empty, package was tampered with.","Delivery Issue"
"Open package delivered, contents missing.","Delivery Issue"
"Carrier delivered to wrong unit number.","Delivery Issue"
"Delivered to wrong house entirely.","Delivery Issue"
"GPS proof shows delivery 3 doors down.","Delivery Issue"
"Need shipping address corrected on order 12091 before dispatch.","Delivery Issue"
"Wrong shipping address on file — please update.","Delivery Issue"
"Can I redirect my package to a new address?","Delivery Issue"
"Just moved, can the delivery be sent to my new address?","Delivery Issue"
"Need to change ZIP code on shipment.","Delivery Issue"
"Address typo — apartment number missing.","Delivery Issue"
"Want to update delivery instructions: leave at side door.","Delivery Issue"
"Can I add a note for the carrier?","Delivery Issue"
"Could you change delivery to my office address?","Delivery Issue"
"Delivery address change needed urgently.","Delivery Issue"
"Carrier scheduled delivery for a day I'm not home.","Delivery Issue"
"Missed delivery — how to schedule pickup at depot?","Delivery Issue"
"Need to reschedule delivery to Saturday.","Delivery Issue"
"Driver attempted twice and now I have to retrieve from depot?","Delivery Issue"
"Can you redeliver tomorrow?","Delivery Issue"
"Hold at facility please — won't be home this week.","Delivery Issue"
"Need delivery to be on Friday only.","Delivery Issue"
"Reschedule the attempted delivery please.","Delivery Issue"
"Pickup window question — when can I collect from carrier?","Delivery Issue"
"Missed signature delivery, what's next?","Delivery Issue"
"Why is shipping so slow this time?","Delivery Issue"
"Standard shipping seems much longer than promised.","Delivery Issue"
"Expected delivery within 3 days, it's been 10.","Delivery Issue"
"Why does it take 2 weeks for ground shipping?","Delivery Issue"
"Order acknowledged 5 days ago, hasn't shipped.","Delivery Issue"
"Processing time too long, when will it ship?","Delivery Issue"
"Why is fulfillment taking so long?","Delivery Issue"
"Tracking shows preparing for over a week.","Delivery Issue"
"Hi, can you expedite my pending shipment?","Delivery Issue"
"Could you upgrade my shipping to overnight?","Delivery Issue"
"Hi, order 99110, where is it?","Delivery Issue"
"Status of shipment for purchase last Friday?","Delivery Issue"
"Delivery question — when does it actually arrive?","Delivery Issue"
"Can I track my order? Confirmation email had no link.","Delivery Issue"
"Tracking number returns 'not found'.","Delivery Issue"
"Provide me tracking please.","Delivery Issue"
"Need updated tracking — old number is dead.","Delivery Issue"
"Tracking page errors out every time.","Delivery Issue"
"Where's the tracking info for order 22999?","Delivery Issue"
"Have you shipped order 11200 yet?","Delivery Issue"
"Delivery never arrived despite confirmation.","Delivery Issue"
"It says delivered 2 hours ago, nothing here.","Delivery Issue"
"Marked as delivered, I checked everywhere — nothing.","Delivery Issue"
"Looking everywhere on my property, no package found.","Delivery Issue"
"USPS shows delivered to mailbox but mailbox is empty.","Delivery Issue"
"Driver dropped at lobby, package gone now.","Delivery Issue"
"Front desk has no record of my parcel.","Delivery Issue"
"Could you reship — delivery was lost.","Delivery Issue"
"Carrier claims left with neighbor, neighbor has nothing.","Delivery Issue"
"Package supposedly delivered, security cam shows no driver.","Delivery Issue"
"My package is going to be late again, isn't it?","Delivery Issue"
"When can I expect delivery, honestly?","Delivery Issue"
"Original delivery date passed weeks ago.","Delivery Issue"
"What's the new delivery estimate?","Delivery Issue"
"Delivery delayed twice, will it ever come?","Delivery Issue"
"Order taking forever, what's going on?","Delivery Issue"
"Honest ETA please — I need this for an event.","Delivery Issue"
"Tell me a real delivery date.","Delivery Issue"
"How much longer for my package?","Delivery Issue"
"Can I get an update on shipment progress?","Delivery Issue"
"International shipping question — order in EU, item in US.","Delivery Issue"
"Customs delay on my order to Canada?","Delivery Issue"
"Shipment stuck in customs for 3 weeks.","Delivery Issue"
"Why does international shipping take so long?","Delivery Issue"
"Cross-border parcel hasn't moved in 10 days.","Delivery Issue"
"Order to UK never arrived.","Delivery Issue"
"International tracking ended at port and stopped.","Delivery Issue"
"Asia delivery much later than expected.","Delivery Issue"
"European order delayed in customs.","Delivery Issue"
"Australian shipment lost in transit.","Delivery Issue"
"Package showed up wet and partially destroyed.","Delivery Issue"
"Box arrived crushed flat.","Delivery Issue"
"Outer carton was opened during shipping.","Delivery Issue"
"Package had a hole punched in the side.","Delivery Issue"
"Box looks like it was dropped repeatedly.","Delivery Issue"
"Shipping damage on the outer box.","Delivery Issue"
"Carrier mishandled the package badly.","Delivery Issue"
"Box wet through, possibly contents damaged.","Delivery Issue"
"Package arrived ripped open.","Delivery Issue"
"Visible damage to shipping box.","Delivery Issue"
"Carrier left package in the rain.","Delivery Issue"
"Delivery left out front in the snow.","Delivery Issue"
"Driver tossed package over fence.","Delivery Issue"
"Package thrown onto porch from street.","Delivery Issue"
"Carrier left fragile item upside down.","Delivery Issue"
"Hi, can I switch carriers? UPS keeps losing my deliveries here.","Delivery Issue"
"Can you ship via a different courier?","Delivery Issue"
"Carrier choice — can I request FedEx instead of USPS?","Delivery Issue"
"Tracking link from your email goes to wrong carrier site.","Delivery Issue"
"Did the carrier change after shipment?","Delivery Issue"
"Why did the carrier rebrand mid-shipment?","Delivery Issue"
"Multiple tracking numbers — which one is correct?","Delivery Issue"
"Order split into two shipments, only got one.","Delivery Issue"
"Half the order arrived, other half lost?","Delivery Issue"
"Partial shipment — where's the rest?","Delivery Issue"
"Order shows as one box but only one of two arrived.","Delivery Issue"
"Two-day shipping turned into ten days.","Delivery Issue"
"Two-day promised, paid extra, didn't arrive on time.","Delivery Issue"
"Refund expedited shipping fee — wasn't expedited.","Delivery Issue"
"Saturday delivery missed despite paying for it.","Delivery Issue"
"Hi, my parcel is stuck in your warehouse for 8 days.","Delivery Issue"
"Order acknowledged but never dispatched.","Delivery Issue"
"Items not picked from your warehouse yet?","Delivery Issue"
"Stuck on 'preparing for shipment' for 11 days.","Delivery Issue"
"Why hasn't my order moved from your facility?","Delivery Issue"
"Warehouse delay update please.","Delivery Issue"
"Pre-order shipment date — when?","Delivery Issue"
"My back-ordered item — any ETA?","Delivery Issue"
"Order on hold, why?","Delivery Issue"
"When will my order be packed and shipped?","Delivery Issue"
"Driver took photo at wrong door.","Delivery Issue"
"Delivery photo shows different house.","Delivery Issue"
"Tracking proof photo is from another address.","Delivery Issue"
"Photo confirmation doesn't match my home.","Delivery Issue"
"GPS confirmation off by half a mile.","Delivery Issue"
"Carrier says delivered, photo doesn't match.","Delivery Issue"
"Photo is of a porch, my address is an apartment.","Delivery Issue"
"Carrier mismatched address — I'm in a high-rise, photo is a house.","Delivery Issue"
"Verify delivery please, the photo isn't mine.","Delivery Issue"
"Wrong house in delivery confirmation photo.","Delivery Issue"
"Package shipped to my old address.","Delivery Issue"
"I updated address before shipment, but it went to old one.","Delivery Issue"
"Order shipped to wrong city entirely.","Delivery Issue"
"Got confirmation of delivery to a state I don't live in.","Delivery Issue"
"Carrier sent it to a completely different person.","Delivery Issue"
"Was the shipping label wrong?","Delivery Issue"
"Why was it shipped to my billing address not shipping address?","Delivery Issue"
"Order went to billing address by mistake.","Delivery Issue"
"Shipping label error — wrong city listed.","Delivery Issue"
"Could you reship since the original went to the wrong place?","Delivery Issue"
"Delivery delay due to weather is okay, but no updates is not.","Delivery Issue"
"Weather delay — fine, but please communicate.","Delivery Issue"
"Heard about the storm, but I want an ETA after.","Delivery Issue"
"Will weather delay continue much longer?","Delivery Issue"
"Snow delay update for my order?","Delivery Issue"
"Holiday delivery delay — when can I expect?","Delivery Issue"
"Black Friday order — when will it ship?","Delivery Issue"
"Christmas delivery cutoff missed?","Delivery Issue"
"Will it arrive before December 24?","Delivery Issue"
"Holiday shipping FAQ — what's the cutoff?","Delivery Issue"
"Need delivery confirmation for insurance claim.","Delivery Issue"
"Lost package — need carrier confirmation in writing.","Delivery Issue"
"Provide carrier loss documentation please.","Delivery Issue"
"Need proof of lost shipment for chargeback.","Delivery Issue"
"Can you confirm in writing that the package is lost?","Delivery Issue"
"Officially declare my package lost so I can claim.","Delivery Issue"
"Need shipping claim form for damaged delivery.","Delivery Issue"
"How do I file a delivery dispute?","Delivery Issue"
"Package theft suspected — left at door, then gone.","Delivery Issue"
"Porch piracy — what next?","Delivery Issue"
"The hoodie is the wrong size, I ordered medium got XL.","Product Complaint"
"Battery on the headphones dies in 6 hours, listing said 18.","Product Complaint"
"The color of the shirt is different from the photo.","Product Complaint"
"Quality of this product is way worse than expected.","Product Complaint"
"Fabric is itchy and feels cheap.","Product Complaint"
"This item doesn't work as described.","Product Complaint"
"The mug is smaller than advertised.","Product Complaint"
"Got the wrong item — ordered blue, got green.","Product Complaint"
"Product arrived but doesn't match the website.","Product Complaint"
"Headphones have buzzing sound out of the box.","Product Complaint"
"Stitching on the shirt is coming apart already.","Product Complaint"
"Wrong flavor delivered instead of mango.","Product Complaint"
"Sizing chart is misleading, doesn't fit at all.","Product Complaint"
"This isn't what I ordered, sent the wrong product.","Product Complaint"
"Material feels different from the description.","Product Complaint"
"Smaller than expected, photos are deceiving.","Product Complaint"
"Battery life is half what was advertised.","Product Complaint"
"Item works but very poor quality.","Product Complaint"
"The blanket is shedding fibers everywhere.","Product Complaint"
"Colors faded after one wash.","Product Complaint"
"Pants are way too tight despite being my usual size.","Product Complaint"
"Got XL when I ordered L, totally wrong.","Product Complaint"
"Dress runs two sizes small.","Product Complaint"
"Shoes are not the size on the box.","Product Complaint"
"Sweater is enormous, even though it's my normal size.","Product Complaint"
"Sleeves are way longer than expected.","Product Complaint"
"Length of the skirt is much shorter than shown.","Product Complaint"
"Bra fit is completely off from the size chart.","Product Complaint"
"Jacket is missing a button.","Product Complaint"
"Hat is too tight, despite ordering 'one size fits all'.","Product Complaint"
"Cup shows tiny in real life, large in photo.","Product Complaint"
"Display picture is misleading — real product is much smaller.","Product Complaint"
"Got pink when I ordered red.","Product Complaint"
"Color is way more orange than the website's deep crimson.","Product Complaint"
"Off-white in the photo, but it's cream in reality.","Product Complaint"
"Item received is in the wrong color entirely.","Product Complaint"
"Black on the site, charcoal gray in real life.","Product Complaint"
"Color difference is dramatic compared to product page.","Product Complaint"
"The 'navy' is actually closer to royal blue.","Product Complaint"
"Photo showed a darker shade, this is pastel.","Product Complaint"
"Headphones don't connect via Bluetooth as promised.","Product Complaint"
"Speaker volume is way lower than advertised.","Product Complaint"
"Camera has poor image quality.","Product Complaint"
"Phone case doesn't fit my model.","Product Complaint"
"Charger doesn't work with my device.","Product Complaint"
"USB cable is the wrong type.","Product Complaint"
"Smartwatch won't pair with iPhone.","Product Complaint"
"TV remote is unresponsive.","Product Complaint"
"Microphone is barely audible.","Product Complaint"
"Keyboard keys are sticking.","Product Complaint"
"Material feels like plastic, not leather as listed.","Product Complaint"
"Wool is scratchy, not 'soft merino'.","Product Complaint"
"Cotton blend listed, but feels synthetic.","Product Complaint"
"Wood is veneer, not solid as described.","Product Complaint"
"Bag is fake leather, not real.","Product Complaint"
"Linen is way thinner than expected.","Product Complaint"
"Suede is just synthetic.","Product Complaint"
"Silk feels like polyester.","Product Complaint"
"Cashmere claim seems false — feels rough.","Product Complaint"
"Sheen on the fabric is plasticky.","Product Complaint"
"Stitching is uneven and looks cheap.","Product Complaint"
"Hem is unraveling on first wear.","Product Complaint"
"Zipper is broken out of the box.","Product Complaint"
"Button popped off immediately.","Product Complaint"
"Seam is splitting after one use.","Product Complaint"
"Tag inside is itchy and not removable.","Product Complaint"
"Hood drawstring is missing.","Product Complaint"
"Pockets are sewn shut.","Product Complaint"
"Lining is poorly attached.","Product Complaint"
"Velcro doesn't stick.","Product Complaint"
"Got the wrong shirt — different design entirely.","Product Complaint"
"Wrong product sent — ordered earbuds, got headphones.","Product Complaint"
"Received a different item than what I ordered.","Product Complaint"
"Order mix-up — wrong customer's product.","Product Complaint"
"Got someone else's order entirely.","Product Complaint"
"Wrong shoe model shipped.","Product Complaint"
"Sent the wrong book title.","Product Complaint"
"Wrong fragrance delivered.","Product Complaint"
"Got the kids' version, ordered adult.","Product Complaint"
"Wrong electronics — ordered the gold one, got silver.","Product Complaint"
"Battery on the device drains in an hour.","Product Complaint"
"Vacuum has no suction.","Product Complaint"
"Blender stops mid-blend.","Product Complaint"
"Toaster only browns one side.","Product Complaint"
"Iron doesn't heat up.","Product Complaint"
"Hair dryer rattles loudly.","Product Complaint"
"Microwave button broken.","Product Complaint"
"Fridge runs too warm.","Product Complaint"
"Air purifier doesn't actually clean.","Product Complaint"
"Heater barely warms the room.","Product Complaint"
"Phone battery swells after a week.","Product Complaint"
"Tablet screen flickers.","Product Complaint"
"Laptop fan grinds.","Product Complaint"
"Mouse double-clicks on its own.","Product Complaint"
"Headphone jack is faulty.","Product Complaint"
"Game controller drift on right stick.","Product Complaint"
"Smartwatch crashes daily.","Product Complaint"
"Speaker static even at low volume.","Product Complaint"
"TV has dead pixels.","Product Complaint"
"Webcam image is blurry permanently.","Product Complaint"
"Soap smells like nothing.","Product Complaint"
"Candle scent throw is non-existent.","Product Complaint"
"Perfume smells nothing like the description.","Product Complaint"
"Cologne fades in 10 minutes.","Product Complaint"
"Lotion has weird chemical smell.","Product Complaint"
"Cream irritates skin immediately.","Product Complaint"
"Shampoo smells fine but dries hair out.","Product Complaint"
"Conditioner does nothing.","Product Complaint"
"Lipstick texture is gritty.","Product Complaint"
"Foundation is several shades darker than the swatch.","Product Complaint"
"Food item tastes stale.","Product Complaint"
"Snacks are way past expiration.","Product Complaint"
"Tea has weird aftertaste.","Product Complaint"
"Coffee beans are stale.","Product Complaint"
"Chocolate has white film on it.","Product Complaint"
"Drink has carbonation issues.","Product Complaint"
"Wine cork was loose, possibly oxidized.","Product Complaint"
"Sauce jar was half empty.","Product Complaint"
"Cereal box was crushed and contents stale.","Product Complaint"
"Spice has lost its potency.","Product Complaint"
"Furniture wobbles.","Product Complaint"
"Chair leg uneven, rocks back and forth.","Product Complaint"
"Table surface has a scratch right in the middle.","Product Complaint"
"Drawer doesn't slide smoothly.","Product Complaint"
"Couch cushions deflated after a week.","Product Complaint"
"Bed frame creaks loudly with any movement.","Product Complaint"
"Bookshelf is missing screws.","Product Complaint"
"Cabinet doors don't align.","Product Complaint"
"Lamp shade is dented.","Product Complaint"
"Picture frame is warped.","Product Complaint"
"Toy is much smaller than the box suggests.","Product Complaint"
"Toy is broken straight out of the box.","Product Complaint"
"Plush is missing an eye.","Product Complaint"
"Action figure has a hand snapped off.","Product Complaint"
"Puzzle is missing 3 pieces.","Product Complaint"
"Board game missing dice.","Product Complaint"
"Lego set missing important pieces.","Product Complaint"
"Doll has rough plastic edges.","Product Complaint"
"Building blocks don't fit together.","Product Complaint"
"Kid's toy has sharp edges, unsafe.","Product Complaint"
"Book pages were torn out.","Product Complaint"
"Book had printing errors on multiple pages.","Product Complaint"
"Magazine subscription started with wrong issue.","Product Complaint"
"Hardcover came scratched.","Product Complaint"
"Cover art doesn't match what was shown.","Product Complaint"
"Audiobook code didn't work.","Product Complaint"
"Ebook has formatting issues.","Product Complaint"
"Map is outdated despite new edition claim.","Product Complaint"
"Pages are stuck together.","Product Complaint"
"Spine is already cracking.","Product Complaint"
"Plant arrived wilted and brown.","Product Complaint"
"Flowers were dried out.","Product Complaint"
"Seeds appear non-viable.","Product Complaint"
"Pot is cracked.","Product Complaint"
"Soil bag was leaking.","Product Complaint"
"Bulbs were moldy.","Product Complaint"
